1,Phòng khám 1,Phòng khám 1 thuộc loại phòng khám,1,1
2,Phòng khám 2,Phòng khám 2 thuộc loại phòng khám,1,1
3,Phòng khám 3,Phòng khám 3 thuộc loại phòng khám,1,1
4,Phòng khám 4,Phòng khám 4 thuộc loại phòng khám,1,1
5,Phòng khám 5,Phòng khám 5 thuộc loại phòng khám,1,1
6,Phòng khám 1,Phòng khám 1 thuộc loại phòng khám,3,2
7,Phòng khám 2,Phòng khám 2 thuộc loại phòng khám,3,2
8,Phòng khám 3,Phòng khám 3 thuộc loại phòng khám,3,2
9,Phòng khám 4,Phòng khám 4 thuộc loại phòng khám,3,2
10,Phòng khám 5,Phòng khám 5 thuộc loại phòng khám,3,2
11,Phòng xét nghiệm máu,Phòng xét nghiệm máu thuộc loại phòng xét nghiệm,2,1
12,Phòng xét nghiệm máu,Phòng xét nghiệm máu thuộc loại phòng xét nghiệm,4,2
